taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,8,1,1.換気扇,2021-08-01,1111,2021-08-08,2021-08-08,分解掃除,2021-08-15,0
2,8,2,2.ストーブ,2021-08-01,XXXX,2021-08-08,2021-08-18,分解掃除,2021-08-25,0
3,8,3,3.湯沸かし,2021-08-01,1111,2021-08-08,,,,
4,8,4,4.ボイラー,2021-08-01,1111,2021-08-08,,,,
5,8,5,5.キッチン回り,2021-08-01,1111,2021-08-08,,,,
6,8,6,6.扇風機,2021-08-01,XXXX,2021-08-08,,,,
7,8,7,7.網戸,2021-08-01,1111,2021-08-08,,,,
8,8,8,8.タイマー,2021-08-01,XXXX,2021-08-08,,,,
9,8,9,9.照明,2021-08-01,1111,2021-08-08,,,,
10,8,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
11,8,11,11.風呂配管,2021-08-01,1111,2021-08-08,,,,
13,8,2,2.ストーブ,,,,2021-08-25,フィルター交換,2021-09-01,0
14,8,1,1.換気扇,,,,2021-08-15,点検,2021-08-22,0
