taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,14,1,1.換気扇,2021-08-01,XXXX,2021-08-08,,,,
2,14,2,2.ストーブ,2021-08-01,1111,2021-08-08,,,,
3,14,3,3.湯沸かし,2021-08-01,1111,2021-08-08,,,,
4,14,4,4.ボイラー,2021-08-01,1111,2021-08-08,,,,
5,14,5,5.キッチン回り,2021-08-01,XXXX,2021-08-08,,,,
6,14,6,6.扇風機,2021-08-01,XXXX,2021-08-08,,,,
7,14,7,7.網戸,2021-08-01,XXXX,2021-08-08,,,,
8,14,8,8.タイマー,2021-08-01,XXXX,2021-08-08,,,,
9,14,9,9.照明,2021-08-01,XXXX,2021-08-08,,,,
10,14,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
11,14,11,11.風呂配管,2021-08-01,XXXX,2021-08-08,,,,
