taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
3,9,1,1.換気扇,2021-08-01,1111,2021-08-08,,,,
4,9,2,2.ストーブ,2021-08-01,1111,2021-08-08,,,,
5,9,3,3.湯沸かし,2021-08-01,1111,2021-08-08,,,,
6,9,4,4.ボイラー,2021-08-01,1111,2021-08-08,,,,
7,9,5,5.キッチン回り,2021-08-01,2222,2021-08-08,,,,
8,9,6,6.扇風機,2021-08-01,2222,2021-08-08,,,,
9,9,7,7.網戸,2021-08-01,2222,2021-08-08,,,,
10,9,8,8.タイマー,2021-08-01,XXXX,2021-08-08,,,,
11,9,9,9.照明,2021-08-01,XXXX,2021-08-08,,,,
12,9,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
13,9,11,11.風呂配管,2021-08-01,1111,2021-08-08,,,,
