taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,13,1,1.換気扇,2021-08-01,XXXX,2021-08-08,,,,
2,13,2,2.ストーブ,2021-08-01,XXXX,2021-08-08,,,,
3,13,3,3.湯沸かし,2021-08-01,XXXX,2021-08-08,,,,
4,13,4,4.ボイラー,2021-08-01,XXXX,2021-08-08,,,,
5,13,5,5.キッチン回り,2021-08-01,XXXX,2021-08-08,,,,
6,13,6,6.扇風機,2021-08-01,XXXX,2021-08-08,,,,
7,13,7,7.網戸,2021-08-01,XXXX,2021-08-08,,,,
8,13,8,8.タイマー,2021-08-01,XXXX,2021-08-08,,,,
9,13,9,9.照明,2021-08-01,XXXX,2021-08-08,,,,
10,13,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
11,13,11,11.風呂配管,2021-08-01,XXXX,2021-08-08,,,,
