taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,16,1,1.換気扇,2021-08-01,2222,2021-08-08,,,,
2,16,2,2.ストーブ,2021-08-01,2222,2021-08-08,,,,
3,16,3,3.湯沸かし,2021-08-01,2222,2021-08-08,,,,
4,16,4,4.ボイラー,2021-08-01,2222,2021-08-08,,,,
5,16,5,5.キッチン回り,2021-08-01,XXXX,2021-08-08,,,,
6,16,6,6.扇風機,2021-08-01,XXXX,2021-08-08,,,,
7,16,7,7.網戸,2021-08-01,XXXX,2021-08-08,,,,
8,16,8,8.タイマー,2021-08-01,XXXX,2021-08-08,,,,
9,16,9,9.照明,2021-08-01,XXXX,2021-08-08,,,,
10,16,10,10.消防器具,2021-08-01,XXXX,2021-08-08,,,,
11,16,11,11.風呂配管,2021-08-01,XXXX,2021-08-08,,,,
