taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,2,1,1.換気扇,2015-08-12,2222,2019-07-12,2021-08-01,点検,2021-08-16,0
2,2,2,2.ストーブ,2021-08-01,1111,2021-08-08,,,,
3,2,3,3.湯沸かし,2021-08-01,1111,2021-08-08,,,,
4,2,4,4.ボイラー,2021-08-01,1111,2021-08-08,,,,
5,2,5,5.キッチン回り,2021-08-01,1111,2021-08-08,,,,
6,2,6,6.扇風機,2021-08-01,XXXX,2021-08-08,,,,
7,2,7,7.網戸,2021-08-01,1111,2021-08-08,,,,
8,2,8,8.タイマー,2021-08-01,1111,2021-08-08,,,,
9,2,9,9.照明,2021-08-01,2222,2021-08-08,,,,
10,2,10,10.消防器具,2021-08-01,2222,2021-08-08,,,,
11,2,11,11.風呂配管,2021-08-01,8888,2021-08-08,,,,
