taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,3,1,1.換気扇,2021-08-01,1111,2021-08-08,,,,
2,3,2,2.ストーブ,2021-08-01,1111,2021-08-08,,,,
3,3,3,3.湯沸かし,2021-08-01,XXXX,2021-08-08,,,,
4,3,4,4.ボイラー,2021-08-01,XXXX,2021-08-08,,,,
5,3,5,5.キッチン回り,2021-08-01,1111,2021-08-08,,,,
6,3,6,6.扇風機,2021-08-01,XXXX,2021-08-08,,,,
7,3,7,7.網戸,2021-08-01,1111,2021-08-08,,,,
8,3,8,8.タイマー,2021-08-01,XXXX,2021-08-08,,,,
9,3,9,9.照明,2021-08-01,1111,2021-08-08,,,,
10,3,10,10.消防器具,2021-08-01,1111,2021-08-08,,,,
11,3,11,11.風呂配管,2021-08-01,XXXX,2021-08-08,,,,
