taskid,item_id,t_id,item,pro_date,pro_number,set_date,t_date,task,notice,nt_id
1,1,1,1.換気扇,2010-01-01,1111,2015-01-01,2021-08-05,掃除,2021-08-20,0
2,1,2,2.ストーブ,2010-01-01,1111,2015-01-01,2021-04-20,掃除,2021-08-12,1
3,1,3,3.湯沸かし,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
4,1,4,4.ボイラー,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
5,1,5,5.キッチン回り,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
6,1,6,6.扇風機,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
7,1,7,7.網戸,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
8,1,8,8.タイマー,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
9,1,9,9.照明,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
10,1,10,10.消防器具,2010-01-01,1111,2015-01-01,2021-04-20,点検,2021-08-20,0
11,1,11,11.風呂配管,2010-01-01,2222,2015-01-01,2021-04-20,点検,2021-08-20,0
31,1,1,1.換気扇,,,,2022-04-21,分解掃除,2022-04-25,0
32,1,1,1.換気扇,None,None,None,2022-05-12,フィルター交換,2022-05-16,0
